ID,pcons,proq3,M,N,Meff,ppv,TPR,FPR,tm,fdr
PF00001.18,0.302,0.338047,47443,250,2742.72592339643,0.3824,0.3824,0.6176,0.6253,0.317236
PF00002.21,0.226,0.320044,24502,239,884.992889083741,0.371237458194,0.371237458194,0.628762541806,0.5333,0.4728856
PF00003.19,0.176,0.281961,7481,230,397.866216359454,0.36347826087,0.36347826087,0.63652173913,0.4475,0.5498103
PF00004.26,0.401,0.600896,65494,117,2363.45063423393,0.494880546075,0.494880546075,0.505119453925,0.6775,0.1169675
PF00005.24,0.322,0.596356,600000,144,26516.8833369918,0.497222222222,0.497222222222,0.502777777778,0.5417,0.1425891
PF00006.22,0.142,0.306069,63372,210,116.865097657999,0.44380952381,0.44380952381,0.55619047619,0.3797,0.4369798
PF00007.19,0.149,0.491682,1686,103,91.5594715383581,0.503875968992,0.503875968992,0.496124031008,0.2178,0.2809917
PF00009.24,0.248,0.459501,65435,276,1161.51036521275,0.436231884058,0.436231884058,0.563768115942,0.6171,0.3706922
PF00011.18,0.29,0.364892,29626,103,1756.69038880882,0.558139534884,0.558139534884,0.441860465116,0.4557,0.2441043
PF00013.26,0.344,0.555815,49300,64,1827.55186049896,0.55,0.55,0.45,0.5178,0.1084615
PF00015.18,0.172,0.211669,65492,158,6944.7128819713,0.316455696203,0.316455696203,0.683544303797,0.3666,0.5550747
PF00017.21,0.592,0,21942,75,994.506255557175,0.537234042553,0.537234042553,0.462765957447,0.6015,0.1125402
PF00019.17,0.228,0.331603,7155,101,452.752342953995,0.549407114625,0.549407114625,0.450592885375,0.2463,0.289426
PF00021.18,0.181,0.473227,2218,73,165.592550244441,0.524590163934,0.524590163934,0.475409836066,0.2792,0.2476347
PF00024.23,0.194,0.368093,,78,952.6967784200767,,,,,0.3777974
PF00025.18,0.503,0.600568,65507,169,1497.36288174058,0.574468085106,0.574468085106,0.425531914894,0.7488,0.05371248
PF00026.20,0.301,0.522365,20704,309,1691.07177737211,0.557567917206,0.557567917206,0.442432082794,0.6987,0.1335548
PF00027.26,0.383,0.575474,56442,87,5565.76989712146,0.674311926606,0.674311926606,0.325688073394,0.6054,0.05540166
PF00028.14,0.359,0.581584,30064,88,3043.6599224312,0.609090909091,0.609090909091,0.390909090909,0.5424,0.06282723
PF00029.16,0.12,0.390515,2636,207,175.085024901029,0.264478764479,0.264478764479,0.735521235521,0.2279,0.5582743
PF00031.18,0.435,0.580895,4373,89,328.216505916615,0.533632286996,0.533632286996,0.466367713004,0.5641,0.08842297
PF00032.14,0.237,0.341118,33330,102,815.08035374975,0.317647058824,0.317647058824,0.682352941176,0.2616,0.4522865
PF00033.16,0.165,0.217991,65503,189,386.95100010278,0.190274841438,0.190274841438,0.809725158562,0.2827,0.5663295
PF00034.18,0.426,0.489342,63082,82,2006.71227053019,0.458536585366,0.458536585366,0.541463414634,0.3615,0.1481481
