ID,N,Meff,hasPDB,hasModel,FDR
PF00001.18,250,2742.7259233964332,1,1,0.317236,CL0192
PF00002.21,239,884.9928890837408,1,1,0.4728856,CL0192
PF00003.19,230,397.8662163594545,1,1,0.5498103,CL0192
PF00004.26,117,2363.4506342339296,1,1,0.1169675,CL0023
PF00005.24,144,26516.883336991817,1,1,0.1425891,CL0023
PF00006.22,210,116.86509765799929,1,1,0.4369798,CL0023
PF00007.19,103,91.55947153835814,1,1,0.2809917,CL0079
PF00008.24,29,2470.3558482450785,1,0,,CL0001
PF00009.24,276,1161.5103652127489,1,1,0.3706922,CL0023
PF00010.23,48,899.1751677862388,1,0,,
PF00011.18,103,1756.6903888088248,1,1,0.2441043,CL0190
PF00012.17,584,1438.686099604734,1,0,,CL0108
PF00013.26,64,1827.5518604989572,1,1,0.1084615,CL0007
PF00014.20,49,2757.8230462798288,1,0,,
PF00015.18,182,7283.711189450156,1,1,0.5550747,
PF00016.17,308,271.01074398252797,1,0,,
PF00017.21,76,1009.5060923582812,1,1,0.1125402,CL0541
PF00018.25,45,2194.4653623497993,1,0,,CL0010
PF00019.17,101,452.7523429539953,1,1,0.289426,CL0079
PF00020.15,42,637.9548861136875,1,0,,CL0607
PF00021.18,73,165.59255024444136,1,1,0.2476347,CL0117
PF00022.16,379,1303.6642916835494,1,0,,CL0108
PF00023.27,39,12232.611777176366,0,0,,CL0465
PF00024.23,78,952.6967784200767,0,1,0.3777974,CL0168
PF00025.18,169,1497.3628817405806,1,1,0.05371248,CL0023
PF00026.20,309,1691.0717773721105,1,1,0.1335548,CL0129
PF00027.26,87,5565.769897121458,1,1,0.05540166,CL0029
PF00028.14,88,3043.6599224312017,1,1,0.06282723,CL0159
PF00029.16,207,175.08502490102913,1,1,0.5582743,CL0375
PF00030.16,82,384.1513256913414,1,0,,CL0333
PF00031.18,89,328.21650591661484,1,1,0.08842297,CL0121
PF00032.14,102,815.0803537497496,1,1,0.4522865,
PF00033.16,189,386.95100010278026,1,1,0.5663295,CL0328
PF00034.18,82,2006.7122705301924,1,1,0.1481481,CL0318
PF00035.23,66,1399.301857720584,1,1,0.02439024,CL0196
PF00036.29,26,3249.826430479312,1,0,,CL0220
PF00037.24,22,7154.39465667455,1,0,,CL0344
PF00038.18,315,97846.96978719324,0,1,0.5958759,
PF00039.15,40,181.13593452748765,0,0,,CL0451
PF00040.16,42,380.7189454811025,1,0,,CL0602
PF00041.18,79,3312.381390171533,1,1,0.07290533,CL0159
PF00042.19,107,517.2191124078391,1,1,0.1968553,CL0090
PF00043.22,99,1857.3230587443004,1,1,0.08780037,CL0497
PF00044.21,146,837.7737276439345,1,1,0.1792702,CL0063
PF00045.16,43,528.4731318231903,1,0,,
PF00046.26,54,2127.333617629443,1,1,0.06353591,CL0123
PF00047.22,68,6263.32861670596,1,1,0.06434316,CL0011
PF00048.17,60,300.9056986935488,1,1,0.1366623,
PF00049.15,80,241.07300644155794,1,1,0.485112,CL0239
PF00050.18,58,1331.2500376782436,0,1,0.1740302,CL0005
PF00051.15,78,620.5992932619255,1,1,0.1005632,CL0602
PF00052.15,137,217.9878360056802,1,1,0.4624069,CL0202
PF00053.21,52,1056.166741886379,0,1,0.1167031,CL0001
PF00054.20,123,1093.4446086341288,1,1,0.1332891,CL0004
PF00055.14,221,146.37949496316716,1,1,0.4438316,CL0202
PF00056.20,138,404.7184752030492,1,1,0.1105183,CL0063
PF00057.15,32,3788.94476362252,1,0,,
PF00058.14,41,1126.1956232679588,1,0,,CL0186
PF00059.18,101,3332.7892512453,1,1,0.05966587,CL0056
PF00060.23,272,688.8937938118489,1,1,0.6055941,CL0030
PF00061.20,134,315.17035615291167,1,1,0.2366541,CL0116
PF00062.17,119,391.22564549246596,1,1,0.3874232,CL0037
PF00063.18,655,741.4490469881528,1,0,,CL0023
PF00064.15,466,22.441767847887522,1,1,0.5680219,CL0434
PF00066.14,35,504.142404404501,0,0,,
PF00067.19,443,2228.2520413439174,1,0,,
PF00068.16,106,297.5549355329038,1,1,0.1920591,CL0629
PF00069.22,246,4823.854701923391,1,1,0.05397727,CL0016
PF00070.24,66,1681.742226296198,1,1,0.05341246,CL0063
PF00071.19,159,1807.6141793596191,1,1,0.04424779,CL0023
PF00072.21,107,8098.312237454998,1,1,0.04347826,CL0304
PF00073.17,210,153.65876719221563,1,1,0.524612,CL0055
PF00074.17,119,191.91638140654524,1,1,0.2829655,
PF00075.21,136,3604.227717170405,1,1,0.05494505,CL0219
PF00076.19,70,7056.736838141025,1,1,0.1106195,CL0221
PF00077.17,92,4508.523531176962,1,1,0.1574074,CL0129
PF00078.24,211,2483.665746029423,1,1,0.4193959,CL0027
PF00079.17,365,775.9948393306789,1,0,,
PF00080.17,138,722.9776065374468,1,1,0.06733167,
PF00081.19,81,1040.1794843292266,1,1,0.2127781,
