ID,N,Meff,hasPDB,hasModel,FDR
PF00001.18,250,2742.7259233964332,1,1,0.317236
PF00002.21,239,884.9928890837408,1,1,0.4728856
PF00003.19,230,397.8662163594545,1,1,0.5498103
PF00004.26,117,2363.4506342339296,1,1,0.1169675
PF00005.24,144,26516.883336991817,1,1,0.1425891
PF00006.22,210,116.86509765799929,1,1,0.4369798
PF00007.19,103,91.55947153835814,1,1,0.2809917
PF00008.24,29,2470.3558482450785,1,0,
PF00009.24,276,1161.5103652127489,1,1,0.3706922
PF00010.23,48,899.1751677862388,1,0,
PF00011.18,103,1756.6903888088248,1,1,0.2441043
PF00012.17,584,1438.686099604734,1,0,
PF00013.26,64,1827.5518604989572,1,1,0.1084615
PF00014.20,49,2757.8230462798288,1,0,
PF00015.18,182,7283.711189450156,1,1,0.5550747
PF00016.17,308,271.01074398252797,1,0,
PF00017.21,76,1009.5060923582812,1,1,0.1125402
PF00018.25,45,2194.4653623497993,1,0,
PF00019.17,101,452.7523429539953,1,1,0.289426
PF00020.15,42,637.9548861136875,1,0,
PF00021.18,73,165.59255024444136,1,1,0.2476347
PF00022.16,379,1303.6642916835494,1,0,
PF00023.27,39,12232.611777176366,0,0,
PF00024.23,78,952.6967784200767,0,1,0.3777974
PF00025.18,169,1497.3628817405806,1,1,0.05371248
PF00026.20,309,1691.0717773721105,1,1,0.1335548
PF00027.26,87,5565.769897121458,1,1,0.05540166
PF00028.14,88,3043.6599224312017,1,1,0.06282723
PF00029.16,207,175.08502490102913,1,1,0.5582743
PF00030.16,82,384.1513256913414,1,0,
PF00031.18,89,328.21650591661484,1,1,0.08842297
PF00032.14,102,815.0803537497496,1,1,0.4522865
PF00033.16,189,386.95100010278026,1,1,0.5663295
PF00034.18,82,2006.7122705301924,1,1,0.1481481
PF00035.23,66,1399.301857720584,1,1,0.02439024
PF00036.29,26,3249.826430479312,1,0,
PF00037.24,22,7154.39465667455,1,0,
PF00038.18,315,97846.96978719324,0,1,0.5958759
PF00039.15,40,181.13593452748765,0,0,
PF00040.16,42,380.7189454811025,1,0,
PF00041.18,79,3312.381390171533,1,1,0.07290533
PF00042.19,107,517.2191124078391,1,1,0.1968553
PF00043.22,99,1857.3230587443004,1,1,0.08780037
PF00044.21,146,837.7737276439345,1,1,0.1792702
PF00045.16,43,528.4731318231903,1,0,
PF00046.26,54,2127.333617629443,1,1,0.06353591
PF00047.22,68,6263.32861670596,1,1,0.06434316
PF00048.17,60,300.9056986935488,1,1,0.1366623
PF00049.15,80,241.07300644155794,1,1,0.485112
PF00050.18,58,1331.2500376782436,0,1,0.1740302
PF00051.15,78,620.5992932619255,1,1,0.1005632
PF00052.15,137,217.9878360056802,1,1,0.4624069
PF00053.21,52,1056.166741886379,0,1,0.1167031
PF00054.20,123,1093.4446086341288,1,1,0.1332891
PF00055.14,221,146.37949496316716,1,1,0.4438316
PF00056.20,138,404.7184752030492,1,1,0.1105183
PF00057.15,32,3788.94476362252,1,0,
PF00058.14,41,1126.1956232679588,1,0,
PF00059.18,101,3332.7892512453,1,1,0.05966587
PF00060.23,272,688.8937938118489,1,1,0.6055941
PF00061.20,134,315.17035615291167,1,1,0.2366541
PF00062.17,119,391.22564549246596,1,1,0.3874232
PF00063.18,655,741.4490469881528,1,0,
PF00064.15,466,22.441767847887522,1,1,0.5680219
PF00066.14,35,504.142404404501,0,0,
PF00067.19,443,2228.2520413439174,1,0,
PF00068.16,106,297.5549355329038,1,1,0.1920591
PF00069.22,246,4823.854701923391,1,1,0.05397727
PF00070.24,66,1681.742226296198,1,1,0.05341246
PF00071.19,159,1807.6141793596191,1,1,0.04424779
PF00072.21,107,8098.312237454998,1,1,0.04347826
PF00073.17,210,153.65876719221563,1,1,0.524612
PF00074.17,119,191.91638140654524,1,1,0.2829655
PF00075.21,136,3604.227717170405,1,1,0.05494505
PF00076.19,70,7056.736838141025,1,1,0.1106195
PF00077.17,92,4508.523531176962,1,1,0.1574074
PF00078.24,211,2483.665746029423,1,1,0.4193959
PF00079.17,365,775.9948393306789,1,0,
PF00080.17,138,722.9776065374468,1,1,0.06733167
PF00081.19,81,1040.1794843292266,1,1,0.2127781
PF00082.19,253,2624.1611802429998,1,1,0.0530303
PF00083.21,425,2061.802683887943,1,0,
PF00084.17,58,7394.600125011127,0,1,0.06547619
PF00085.17,96,2419.9433013479133,1,1,0.04784689
PF00086.15,63,381.7437568351697,1,1,0.2177914
PF00087.18,55,985.9558707756519,1,1,0.1875
PF00088.15,42,288.77083158042655,0,0,
PF00089.23,220,3519.748906651783,1,1,0.05444126
PF00090.16,44,2450.1127106252657,1,0,
PF00091.22,161,585.1202984083158,1,1,0.04444444
PF00092.25,162,3280.847513963286,1,1,0.08809747
PF00093.15,54,86.47256934171297,1,1,0.3
PF00094.22,147,1367.8073810737733,0,1,0.1236897
PF00095.18,42,800.238729889444,1,0,
PF00096.23,22,4530.992138100044,1,0,
PF00097.22,38,3804.531022075303,1,0,
PF00098.20,17,4434.86916468516,1,0,
PF00100.20,216,607.3320246120584,1,1,0.4208531
PF00101.17,97,74.89863020980073,1,1,0.3604294
PF00102.24,231,1194.0111733856372,1,1,0.06043165
PF00103.17,194,86.6159709827396,1,1,0.5179302
PF00104.27,203,593.8666706058907,1,1,0.4981413
PF00105.15,69,1236.920310844374,1,1,0.3148022
PF00106.22,188,3656.840456075218,1,1,0.03030303
PF00107.23,114,1655.060443252389,1,1,0.0511811
PF00108.20,249,4066.6214334199944,1,1,0.1242149
PF00109.23,242,3044.9653818711568,1,1,0.07931727
PF00110.16,274,379.0933399125312,1,1,0.5034858
PF00111.24,71,1110.6117624410597,1,1,0.2296835
PF00112.20,213,1214.2204904251316,1,1,0.0509434
PF00113.19,288,804.5773448448252,1,1,0.2015977
PF00114.16,103,412.01251975797663,1,1,0.1168831
PF00115.17,442,655.6124318271012,1,1,0.4969403
PF00116.17,115,491.1273039708577,1,1,0.1906885
PF00117.25,178,465.4946084066415,1,1,0.06708075
PF00118.21,481,743.4775802723632,1,0,
PF00119.17,172,686.3889341930881,1,1,0.2940674
PF00120.21,360,402.2248470062429,1,0,
PF00121.15,232,1721.4053997247413,1,1,0.07692308
PF00122.17,228,1040.2147676808395,1,1,0.4695341
PF00123.17,27,75.11462947036307,1,0,
PF00124.16,254,81.45708429356336,1,1,0.6268681
PF00125.21,133,755.7605560119509,1,1,0.5916127
PF00126.24,58,5490.8663651191855,1,1,0.05343511
PF00127.17,98,1389.612593516382,1,1,0.1818653
PF00128.21,352,842.9891690752663,1,1,0.3611026
PF00129.15,173,707.6966513809175,1,1,0.5055359
PF00130.19,51,996.3056456800398,1,1,0.3277439
PF00131.17,60,61.57029324654832,0,1,0.1873767
PF00132.21,34,2575.1895463147316,1,0,
PF00133.19,532,255.25507835897443,1,0,
PF00134.20,125,1100.8342289269717,1,1,0.2019147
PF00135.25,510,7708.330109782422,1,1,0.262159
PF00136.18,426,259.9191899918747,1,1,0.5796576
PF00137.18,64,269.967244895928,1,1,0.2567829
PF00139.16,235,617.8351819286801,1,1,0.2858942
PF00140.17,32,1176.7643372485425,1,0,
PF00141.20,238,368.60178883780094,1,1,0.3031697
PF00142.15,269,1605.155276768778,1,1,0.1991369
PF00143.16,160,108.25985127557064,1,1,0.3771665
PF00144.21,287,3028.7738623939717,1,1,0.05664488
PF00145.14,301,4803.94479311532,1,1,0.1393287
PF00146.18,306,609.7685483051272,1,1,0.4930375
PF00147.15,249,1024.8520511609695,1,1,0.1539365
PF00148.16,385,272.25235053784616,1,1,0.4005585
PF00149.25,112,2924.016431912494,1,1,0.07298475
PF00150.15,268,3139.2753840413243,1,1,0.08251473
PF00151.16,336,13138.628085772278,1,1,0.5541337
PF00152.17,431,1360.085172859657,1,0,
PF00153.24,85,1983.293976869718,1,1,0.2978992
PF00154.18,262,1731.6356336276704,1,1,0.3780524
PF00155.18,381,1372.8620820580866,1,1,0.07450157
PF00156.24,138,1295.5161805318469,1,1,0.05185185
PF00157.14,59,5999.691313170571,1,1,NA
PF00158.23,162,4926.579406425286,1,1,0.1335113
PF00159.15,35,86.54229228941114,1,0,
PF00160.18,151,1882.396977252658,1,1,0.04693141
PF00161.16,189,182.5180580205832,1,1,0.225997
PF00162.16,373,961.4229911974279,1,1,0.09721048
PF00163.16,93,647.2903656034443,1,1,0.3045775
PF00164.22,122,348.6198619183627,1,1,0.461454
PF00165.20,37,9819.71522878164,1,0,
PF00166.18,93,1000.677535663259,1,1,0.2273313
PF00167.15,125,157.343300916277,1,1,0.2328205
PF00168.27,99,1963.5545968653314,1,1,0.1073095
PF00169.26,100,2164.7609922268803,1,1,0.05757576
PF00170.18,61,727.1053974144157,1,1,0.4068418
PF00171.19,460,531.2293017411007,1,0,
PF00172.15,50,11208.714716417711,0,1,0.1951641
PF00173.25,72,884.2798204058319,1,1,0.1052632
PF00174.16,174,592.6639253249896,1,1,0.06659013
PF00175.18,108,1984.6453432958763,1,1,0.05739514
PF00176.20,364,4235.126172033996,0,1,0.462442
PF00177.18,148,736.6033562151757,1,1,0.1254331
PF00178.19,76,249.53520164157405,1,1,0.4295372
PF00179.23,134,680.7899868939204,1,1,0.107393
PF00180.17,324,202.68069094979882,1,1,0.1418793
PF00181.20,75,796.9488723315372,1,1,0.2673267
PF00182.16,230,334.07074301434335,1,1,0.535379
PF00183.15,415,465.7178317447748,1,1,0.5921005
PF00184.14,78,94.87097901044712,0,1,0.1183644
PF00185.21,156,189.39882508017854,1,1,0.05107084
PF00186.16,158,884.8276805206373,1,1,0.08308895
PF00187.16,34,659.7526132004923,1,0,
PF00188.23,103,1848.3132860547457,1,1,0.08259587
PF00189.17,83,632.4922389541362,1,1,0.1434821
PF00190.19,147,4115.5674860037125,1,1,0.2827763
PF00191.17,64,582.7270122813111,1,1,0.1129032
PF00193.14,92,102.56580828875487,1,1,0.1626984
PF00194.18,238,726.0774008721794,1,0,
PF00195.16,218,2608.117475750104,1,1,0.1908775
PF00196.16,54,11814.144429807224,1,1,NA
PF00197.15,164,155.60476612500918,1,1,0.3960743
PF00198.20,221,949.2138244560334,1,1,0.09342561
PF00199.16,383,418.89351003594396,1,1,0.506347
